COG,departement,commune,population,Pop_in_QPV_pct,Total_QPV,logements_sociaux_pct,Subventions_parHab,places_migrants_p1k,Total_places_migrants,Number_of_Mosques,Mosque_p100k,Insécurité_Score,Immigration_Score,Islamisation_Score,Défrancisation_Score,Wokisme_Score
63424,63,Surat,611,0.0,0,1.0,7.6,0.0,0,0,0.0,43,47,37,76,14
63425,63,Tallende,1565,0.0,0,2.0,17.9,0.0,0,0,0.0,64,47,37,76,18
63426,63,Tauves,700,0.0,0,2.0,3.1,0.0,0,0,0.0,40,47,37,76,14
63427,63,Teilhède,519,0.0,0,2.0,6.6,0.0,0,0,0.0,41,47,37,76,15
63428,63,Teilhet,283,0.0,0,2.0,1.6,0.0,0,0,0.0,34,47,37,76,14
63429,63,Ternant-les-Eaux,49,0.0,0,0.0,6.5,0.0,0,0,0.0,17,47,37,76,13
63430,63,Thiers,11686,33.82,1,18.0,73.0,0.0,0,4,34.23,245,105,392,116,120
63431,63,Thiolières,162,0.0,0,0.0,9.0,0.0,0,0,0.0,21,47,37,76,14
63432,63,Thuret,924,0.0,0,5.0,4.1,0.0,0,0,0.0,42,47,37,76,18
63433,63,Tortebesse,79,0.0,0,0.0,33.8,0.0,0,0,0.0,19,47,37,76,21
63434,63,Tours-sur-Meymont,538,0.0,0,0.0,9.0,0.0,0,0,0.0,41,47,37,76,14
63435,63,Tourzel-Ronzières,202,0.0,0,4.0,6.5,0.0,0,0,0.0,41,47,37,76,17
63436,63,Tralaigues,77,0.0,0,0.0,33.8,0.0,0,0,0.0,17,47,37,76,21
63437,63,Trémouille-Saint-Loup,144,0.0,0,3.0,3.1,0.0,0,0,0.0,34,47,37,76,15
63438,63,Trézioux,502,0.0,0,0.0,9.6,0.0,0,0,0.0,33,47,37,76,14
63439,63,Usson,297,0.0,0,0.0,6.5,0.0,0,0,0.0,26,47,37,76,13
63440,63,Valbeleix,145,0.0,0,0.0,7.3,0.0,0,0,0.0,37,47,37,76,13
63441,63,Valcivières,229,0.0,0,0.0,9.0,0.0,0,0,0.0,30,47,37,76,14
63442,63,Valz-sous-Châteauneuf,53,0.0,0,0.0,6.5,0.0,0,0,0.0,21,47,37,76,13
63443,63,Varennes-sur-Morge,432,0.0,0,0.0,7.6,0.0,0,0,0.0,41,47,37,76,13
63444,63,Varennes-sur-Usson,315,0.0,0,0.0,6.5,0.0,0,0,0.0,35,47,37,76,13
63445,63,Vassel,295,0.0,0,0.0,9.6,0.0,0,0,0.0,450,378,37,76,14
63446,63,Vensat,550,0.0,0,0.0,4.1,0.0,0,0,0.0,38,47,37,76,12
63447,63,Vergheas,66,0.0,0,0.0,1.5,0.0,0,0,0.0,25,47,37,76,12
63448,63,Le Vernet-Chaméane,780,0.0,0,1.0,11.4,0.0,0,0,0.0,44,47,37,76,15
63449,63,Le Vernet-Sainte-Marguerite,329,0.0,0,0.0,7.3,0.0,0,0,0.0,30,47,37,76,13
