departement,population,Total_FdS_Insécurité,Total_FdS_Immigration,Total_FdS_Islamisme,Total_FdS_Défrancisation,Total_FdS_Wokisme,Total_Mosques,Mosques_per_100k,Total_QPV,Pop_in_QPV,Pop_in_QPV_pct,Crime_Coups_et_blessures_volontaires_p1k,Crime_Coups_et_blessures_volontaires_intrafamiliaux_p1k,Crime_Autres_coups_et_blessures_volontaires_p1k,Crime_Violences_sexuelles_p1k,Crime_Vols_avec_armes_p1k,Crime_Vols_violents_sans_arme_p1k,Crime_Vols_sans_violence_contre_des_personnes_p1k,Crime_Cambriolages_de_logement_p1k,Crime_Vols_de_véhicules_p1k,Crime_Vols_dans_les_véhicules_p1k,Crime_Vols_d_accessoires_sur_véhicules_p1k,Crime_Destructions_et_dégradations_volontaires_p1k,Crime_Usage_de_stupéfiants_p1k,Crime_Usage_de_stupéfiants_AFD_p1k,Crime_Trafic_de_stupéfiants_p1k,Crime_Escroqueries_p1k,Crime_Homicides_p100k,Crime_Tentatives_d_homicides_p100k,Prenom_Traditionnel_pct,Prenom_Moderne_pct,Prenom_Inventé_pct,Prenom_Européen_pct,Prenom_Musulman_pct,Prenom_Africain_pct,Prenom_Asiatique_pct,FdS_Insécurité_per_1k,FdS_Immigration_per_1k,FdS_Islamisme_per_1k,FdS_Défrancisation_per_1k,FdS_Wokisme_per_1k
88,358700,10,6,3,2,2,18,5.018,6,16137,4.499,4.4829,2.668,1.8149,1.8679,0.0474,0.1868,4.5776,3.6664,1.0287,1.341,0.8447,7.1982,3.7803,2.0853,0.6078,4.7031,1.6727,4.7393,49.66,3.38,15.2,27.03,7.43,0.68,0.34,0.028,0.017,0.008,0.006,0.006
89,333896,9,7,1,4,2,16,4.792,7,17799,5.331,5.0225,3.2166,1.806,2.0066,0.0509,0.2276,4.3846,5.7402,1.8688,2.0216,1.5544,7.2957,4.4415,2.8991,0.3684,5.4538,0.2995,2.396,40.15,3.72,14.87,28.62,17.47,1.12,0.37,0.027,0.021,0.003,0.012,0.006
90,140082,5,2,1,0,0,8,5.711,7,16017,11.434,5.3968,3.3195,2.0774,2.1416,0.0428,0.3141,6.4748,2.608,0.5497,1.1279,0.464,7.3885,3.3195,2.2344,0.4783,5.0328,0.7139,2.8555,29.59,3.4,11.22,28.23,32.99,2.04,0.34,0.036,0.014,0.007,0.0,0.0
91,1324546,134,69,24,32,16,49,3.699,47,182182,13.754,5.0885,3.0984,1.9901,1.556,0.1457,0.8214,7.6932,6.8622,3.1958,3.3612,2.7587,8.0805,3.6994,2.5156,0.838,6.1749,1.8119,8.2292,20.97,2.76,15.88,24.67,41.49,8.41,0.38,0.101,0.052,0.018,0.024,0.012
92,1647435,57,39,13,17,11,49,2.974,19,99966,6.068,3.869,2.3916,1.4774,1.3706,0.0971,0.8097,12.9371,5.9002,2.3564,3.2499,1.2316,7.9499,3.9316,2.8098,0.916,8.1217,0.6677,5.4023,37.78,2.62,10.93,21.38,32.28,4.46,0.33,0.035,0.024,0.008,0.01,0.007
93,1681725,449,307,155,274,127,152,9.038,75,695592,41.362,7.4245,4.1344,3.2901,1.9034,0.1968,2.3963,14.9757,7.7983,3.2895,6.5391,2.2905,9.5366,7.619,5.5419,2.4659,5.8595,2.6164,11.7736,12.25,1.17,12.25,17.0,61.18,13.89,0.55,0.267,0.183,0.092,0.163,0.076
94,1419531,109,46,24,28,18,73,5.143,47,179298,12.631,5.1834,3.101,2.0824,1.5688,0.1176,1.013,11.7165,6.5104,2.8967,4.0443,1.9309,7.3877,5.0446,3.3349,1.4702,6.8494,0.634,7.1855,22.16,2.42,13.67,23.82,42.49,9.27,0.44,0.077,0.032,0.017,0.02,0.013
95,1270845,83,48,33,33,12,88,6.925,42,232626,18.305,5.5947,3.452,2.1427,1.5202,0.1841,0.9718,10.2176,6.4443,3.3765,4.3979,2.6565,8.1395,5.4696,3.8911,1.1748,6.1542,1.4951,7.8688,19.75,2.16,14.61,22.99,46.22,7.68,0.46,0.065,0.038,0.026,0.026,0.009
971,383569,43,11,1,33,19,2,0.521,19,58088,15.144,9.3907,4.7944,4.5963,2.1535,1.3739,1.4313,7.9047,4.8608,2.641,5.222,1.3896,7.8812,5.4384,3.4622,0.7039,4.0436,8.082,52.6633,15.49,2.35,37.56,27.7,28.64,4.69,0.0,0.112,0.029,0.003,0.086,0.05
972,361019,39,13,1,34,19,2,0.554,9,53407,14.793,8.4317,4.7504,3.6812,2.1135,0.8504,0.5291,5.1022,5.0328,2.2187,2.576,0.8781,6.5564,3.2381,2.2603,1.0526,4.166,9.4178,58.7227,22.75,2.65,33.33,27.51,22.22,2.65,0.53,0.108,0.036,0.003,0.094,0.053
973,288382,48,47,1,27,13,5,1.734,29,137607,47.717,9.6053,4.7714,4.8339,2.5556,2.944,1.5431,6.6682,10.5339,2.4239,4.3033,0.6727,4.7368,3.8248,3.1486,3.2457,2.3961,18.3784,90.8517,22.51,2.12,28.45,31.21,22.72,1.49,0.85,0.166,0.163,0.003,0.094,0.045
974,881348,58,47,19,53,29,56,6.354,57,184847,20.973,7.8879,4.9481,2.9398,2.4803,0.0613,0.5866,4.2537,2.2408,0.961,2.8059,0.4414,5.9931,2.7957,1.8392,0.4788,3.0669,1.9289,3.7443,21.92,2.31,30.71,23.14,28.05,2.02,2.09,0.066,0.053,0.022,0.06,0.033
976,256518,193,251,40,156,31,600,233.902,42,198853,77.52,7.1223,1.9453,5.177,1.9414,2.4092,1.918,5.0796,5.9827,1.3839,1.6763,0.2612,8.7674,1.306,0.8771,0.269,1.7699,7.017,22.6105,4.9,0.26,13.4,9.79,77.45,8.38,0.64,0.752,0.978,0.156,0.608,0.121
