departement,population,Total_FdS_Insécurité,Total_FdS_Immigration,Total_FdS_Islamisme,Total_FdS_Défrancisation,Total_FdS_Wokisme,Total_Mosques,Mosques_per_100k,Total_QPV,Pop_in_QPV,Pop_in_QPV_pct,Crime_Coups_et_blessures_volontaires_p1k,Crime_Coups_et_blessures_volontaires_intrafamiliaux_p1k,Crime_Autres_coups_et_blessures_volontaires_p1k,Crime_Violences_sexuelles_p1k,Crime_Vols_avec_armes_p1k,Crime_Vols_violents_sans_arme_p1k,Crime_Vols_sans_violence_contre_des_personnes_p1k,Crime_Cambriolages_de_logement_p1k,Crime_Vols_de_véhicules_p1k,Crime_Vols_dans_les_véhicules_p1k,Crime_Vols_d_accessoires_sur_véhicules_p1k,Crime_Destructions_et_dégradations_volontaires_p1k,Crime_Usage_de_stupéfiants_p1k,Crime_Usage_de_stupéfiants_AFD_p1k,Crime_Trafic_de_stupéfiants_p1k,Crime_Escroqueries_p1k,Crime_Homicides_p100k,Crime_Tentatives_d_homicides_p100k,Prenom_Traditionnel_pct,Prenom_Moderne_pct,Prenom_Inventé_pct,Prenom_Européen_pct,Prenom_Musulman_pct,Prenom_Africain_pct,Prenom_Asiatique_pct,FdS_Insécurité_per_1k,FdS_Immigration_per_1k,FdS_Islamisme_per_1k,FdS_Défrancisation_per_1k,FdS_Wokisme_per_1k
40,428427,19,12,2,3,3,3,0.7,5,8504,1.985,4.1314,2.3505,1.7809,2.0587,0.0303,0.3314,7.3361,4.6226,1.1811,1.6619,0.6932,6.832,2.9573,1.8976,0.4108,6.2134,0.2334,2.8009,43.84,5.42,15.27,32.02,6.9,0.99,0.49,0.044,0.028,0.005,0.007,0.007
41,328953,12,10,5,6,0,8,2.432,4,18021,5.478,4.6238,3.1494,1.4744,1.9273,0.0638,0.2797,5.247,6.931,2.4806,2.0337,1.2585,6.6696,1.8635,1.0944,0.1155,4.8791,0.912,4.5599,45.04,2.84,12.06,26.24,17.02,3.55,1.06,0.036,0.03,0.015,0.018,0.0
42,772041,24,10,2,3,1,43,5.57,24,64887,8.405,4.4467,2.3457,2.1009,1.5401,0.0958,0.8173,6.1357,7.5027,2.1631,4.15,2.2058,8.7107,4.3599,3.04,0.4106,5.6215,0.9067,6.7354,33.85,3.28,15.47,26.02,27.12,1.91,0.36,0.031,0.013,0.003,0.004,0.001
43,228161,10,4,1,5,0,3,1.315,2,2622,1.149,3.5501,2.152,1.3981,1.6085,0.0219,0.1359,3.3923,3.0364,0.8108,0.916,0.6574,5.4128,3.4055,1.4639,0.3682,5.4742,0.4383,0.8766,55.42,1.2,14.46,26.51,7.23,0.0,0.0,0.044,0.018,0.004,0.022,0.0
44,1473156,14,8,1,3,4,20,1.358,19,65393,4.439,3.8333,2.1702,1.6631,1.6869,0.1276,0.6747,8.5164,6.8777,2.9623,4.9662,1.9115,7.2857,2.9698,1.9794,0.4887,5.7808,1.0182,5.4305,45.27,3.1,13.58,24.16,16.9,3.72,0.53,0.01,0.005,0.001,0.002,0.003
45,687063,16,9,5,3,2,34,4.949,19,51126,7.441,4.4727,2.6897,1.783,2.1177,0.0757,0.4497,5.8059,5.8946,1.5166,2.5762,0.9955,5.8816,2.435,1.6127,0.3275,6.0649,0.8733,9.0239,33.73,2.61,13.42,25.42,29.33,4.75,0.36,0.023,0.013,0.007,0.004,0.003
46,175620,4,2,0,2,0,5,2.847,1,1514,0.862,3.6898,2.141,1.5488,1.7823,0.0683,0.2562,4.6464,4.5862,0.7459,0.8313,0.4498,5.8251,1.6684,0.5808,0.3872,5.7624,1.7082,1.7082,39.13,6.52,8.7,39.13,10.87,0.0,0.0,0.023,0.011,0.0,0.011,0.0
47,332226,16,14,6,6,3,19,5.719,7,13657,4.111,4.7799,2.6488,2.1311,1.7037,0.0211,0.2378,6.1404,5.7244,1.1438,1.9655,1.2642,7.4588,2.8986,1.9776,0.3642,5.9327,1.505,3.01,41.81,3.83,11.5,30.31,17.07,0.7,0.0,0.048,0.042,0.018,0.018,0.009
48,76503,8,1,2,3,2,2,2.614,1,1118,1.461,3.7384,2.0653,1.6731,1.9346,0.0,0.0784,2.6273,1.2418,0.4706,0.8104,0.6405,4.9933,2.3921,0.7974,0.4967,3.9998,1.3071,5.2286,52.94,0.0,23.53,29.41,11.76,0.0,0.0,0.105,0.013,0.026,0.039,0.026
49,845126,5,3,3,4,1,11,1.302,15,46184,5.465,3.4052,2.1071,1.2981,1.9767,0.0459,0.3007,5.1971,4.8095,1.5516,2.3003,1.2981,6.8852,1.7678,0.873,0.3067,5.0872,1.0868,4.1055,48.86,3.38,14.45,23.49,13.59,2.51,0.24,0.006,0.004,0.004,0.005,0.001
