COG,departement,commune,population,Pop_in_QPV_pct,Total_QPV,logements_sociaux_pct,Insécurité_Score,Immigration_Score,Islamisation_Score,Défrancisation_Score,Wokisme_Score,Number_of_Mosques,Mosque_p100k
35166,35,Marpiré,1013,0.0,0,9.0,28,38,13,57,24,0,0.0
35167,35,Martigné-Ferchaud,2632,0.0,0,6.0,64,38,13,57,21,0,0.0
35168,35,Val d'Anast,3925,0.0,0,6.0,32,38,13,57,21,0,0.0
35169,35,Maxent,1457,0.0,0,2.0,30,38,13,57,17,0,0.0
35170,35,Mecé,613,0.0,0,5.0,20,38,13,57,20,0,0.0
35171,35,Médréac,1845,0.0,0,5.0,32,38,13,57,20,0,0.0
35172,35,Meillac,1975,0.0,0,8.0,33,38,13,57,23,0,0.0
35173,35,Melesse,7400,0.0,0,13.0,62,38,13,57,28,0,0.0
35174,35,Mellé,648,0.0,0,2.0,27,38,13,57,17,0,0.0
35175,35,Mernel,1017,0.0,0,2.0,28,38,13,57,17,0,0.0
35176,35,Guipry-Messac,7243,0.0,0,3.0,43,38,13,57,18,0,0.0
35177,35,La Mézière,4935,0.0,0,9.0,85,38,13,57,24,0,0.0
35178,35,Mézières-sur-Couesnon,1735,0.0,0,3.0,31,38,13,57,18,0,0.0
35179,35,Miniac-Morvan,4379,0.0,0,7.0,37,38,13,57,22,0,0.0
35180,35,Miniac-sous-Bécherel,788,0.0,0,4.0,154,38,13,57,19,0,0.0
35181,35,Le Minihic-sur-Rance,1499,0.0,0,4.0,32,38,13,57,19,0,0.0
35183,35,Mondevert,806,0.0,0,8.0,30,38,13,57,23,0,0.0
35184,35,Montauban-de-Bretagne,6574,0.0,0,8.0,46,38,13,57,23,0,0.0
35185,35,Montautour,268,0.0,0,3.0,21,38,13,57,18,0,0.0
35186,35,Mont-Dol,1076,0.0,0,4.0,28,38,13,57,19,0,0.0
35187,35,Monterfil,1352,0.0,0,5.0,30,38,13,57,20,0,0.0
35188,35,Montfort-sur-Meu,6767,0.0,0,10.0,55,53,13,57,25,0,0.0
35189,35,Montgermont,3777,0.0,0,20.0,46,91,13,84,62,0,0.0
35190,35,Monthault,250,0.0,0,3.0,20,38,13,57,18,0,0.0
35191,35,Les Portes du Coglais,2235,0.0,0,10.0,38,38,13,57,25,0,0.0
35192,35,Montreuil-des-Landes,235,0.0,0,10.0,21,38,13,57,25,0,0.0
35193,35,Montreuil-le-Gast,2048,0.0,0,7.0,30,38,13,57,22,0,0.0
35194,35,Montreuil-sous-Pérouse,1041,0.0,0,5.0,25,38,13,57,20,0,0.0
35195,35,Montreuil-sur-Ille,2419,0.0,0,6.0,31,38,13,57,21,0,0.0
35196,35,Mordelles,7831,0.0,0,16.0,61,51,13,57,31,0,0.0
35197,35,Mouazé,1728,0.0,0,1.0,31,38,13,57,16,0,0.0
35198,35,Moulins,716,0.0,0,4.0,27,38,13,57,19,0,0.0
35199,35,Moussé,310,0.0,0,4.0,23,38,13,57,19,0,0.0
35200,35,Moutiers,905,0.0,0,4.0,28,38,13,57,19,0,0.0
35201,35,Muel,912,0.0,0,6.0,27,38,13,57,21,0,0.0
35202,35,La Noë-Blanche,1007,0.0,0,1.0,30,38,13,57,16,0,0.0
35203,35,La Nouaye,357,0.0,0,0.0,26,38,13,57,15,0,0.0
35204,35,Nouvoitou,3732,0.0,0,14.0,35,38,13,57,29,0,0.0
35205,35,Noyal-sous-Bazouges,382,0.0,0,0.0,26,38,13,57,15,0,0.0
35206,35,Noyal-Châtillon-sur-Seiche,7995,0.0,0,19.0,84,38,138,57,34,1,12.51
35207,35,Noyal-sur-Vilaine,6250,0.0,0,10.0,58,38,13,57,25,0,0.0
35208,35,Orgères,5602,0.0,0,20.0,66,38,13,57,53,0,0.0
35210,35,Pacé,11815,0.0,0,13.0,84,64,13,74,28,0,0.0
35211,35,Paimpont,1778,0.0,0,2.0,37,38,13,57,17,0,0.0
35212,35,Pancé,1171,0.0,0,4.0,33,38,13,57,19,0,0.0
35214,35,Parcé,652,0.0,0,9.0,27,38,13,57,24,0,0.0
35215,35,Parigné,1301,0.0,0,8.0,30,38,13,57,23,0,0.0
35216,35,Parthenay-de-Bretagne,1802,0.0,0,10.0,29,38,13,57,25,0,0.0
35217,35,Le Pertre,1372,0.0,0,9.0,30,111,86,130,97,0,0.0
35218,35,Le Petit-Fougeray,886,0.0,0,2.0,29,38,13,57,17,0,0.0
35219,35,Pipriac,3871,0.0,0,5.0,58,38,13,57,20,0,0.0
35220,35,Piré-Chancé,3177,0.0,0,3.0,28,38,13,57,18,0,0.0
35221,35,Pléchâtel,2796,0.0,0,3.0,29,38,13,57,18,0,0.0
35222,35,Pleine-Fougères,1978,0.0,0,13.0,138,38,13,57,28,0,0.0
35223,35,Plélan-le-Grand,4063,0.0,0,5.0,47,38,13,57,20,0,0.0
35224,35,Plerguer,2871,0.0,0,3.0,37,38,13,57,18,0,0.0
35225,35,Plesder,778,0.0,0,7.0,30,38,13,57,22,0,0.0
35226,35,Pleugueneuc,2063,0.0,0,8.0,36,38,13,57,23,0,0.0
35227,35,Pleumeleuc,3535,0.0,0,8.0,32,38,13,57,23,0,0.0
35228,35,Pleurtuit,7064,0.0,0,10.0,34,53,13,71,40,0,0.0
35229,35,Pocé-les-Bois,1317,0.0,0,4.0,29,38,13,57,19,0,0.0
35230,35,Poilley,380,0.0,0,2.0,24,38,13,57,17,0,0.0
35231,35,Poligné,1245,0.0,0,0.0,112,119,13,138,15,0,0.0
35232,35,Princé,398,0.0,0,9.0,22,38,13,57,24,0,0.0
35233,35,Québriac,1590,0.0,0,9.0,32,38,13,57,24,0,0.0
35234,35,Quédillac,1272,0.0,0,1.0,32,38,13,57,16,0,0.0
35235,35,Rannée,1081,0.0,0,2.0,28,38,13,57,17,0,0.0
35236,35,Redon,9336,0.0,0,15.0,138,135,45,89,73,0,0.0
35237,35,Renac,1032,0.0,0,6.0,29,38,13,57,21,0,0.0
35238,35,Rennes,227830,15.13,5,26.0,353,193,97,131,176,8,3.51
35239,35,Retiers,4553,0.0,0,5.0,43,38,13,57,20,0,0.0
35240,35,Le Rheu,9823,0.0,0,22.0,44,38,13,57,37,0,0.0
35241,35,La Richardais,2624,0.0,0,13.0,62,38,13,57,28,0,0.0
35242,35,Rimou,350,0.0,0,8.0,30,38,13,57,23,0,0.0
35243,35,Romagné,2434,0.0,0,7.0,29,38,13,57,22,0,0.0
35244,35,Romazy,275,0.0,0,0.0,24,38,13,57,15,0,0.0
